"filename", "language", "TypeScript", "JSON", "HTML", "PostCSS", "SCSS", "JSON with Comments", "JavaScript", "Markdown", "comment", "blank", "total"
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-barleft/myprofile-barleft/myprofile-barleft.component.html", "HTML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-barleft/myprofile-barleft/myprofile-barleft.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-barleft/myprofile-barleft/myprofile-barleft.component.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 1, 10, 77
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-blocked-users-dialog/myprofile-blocked-users-dialog.component.html", "HTML", 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-blocked-users-dialog/myprofile-blocked-users-dialog.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-blocked-users-dialog/myprofile-blocked-users-dialog.component.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 11, 81
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-blocked-users/myprofile-blocked-users.component.html", "HTML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-blocked-users/myprofile-blocked-users.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-blocked-users/myprofile-blocked-users.component.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-body.module.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 3, 59
